,Participant comment,Keywords,,,
,"With regard to the use of artifacts: -Missing or outdated documentation about setup and use -Incompatibility between different versions and tools. For example, some tools need Eclipse Neon to work, others need Eclipse Photon. Depending on the differences, one may need several Eclipse versions and sometimes different Java versions.",documentation,"compatibility (of languages, platforms, libraries)",,
,Eclipse setup issues,installation,,,
,One of the biggest challenges is standardization. A lot of tools rely on EMF but either do not work well with other tools (Xtext: wipes the EMF Registry) or use features that have not been properly developed and probably never will. This makes it quite challenging to share artifacts as we have experienced different behaviors on different platforms.,technology heterogeneity,standardisation,,
,"running their tools, availability / access to benchmarks",installation,availability,,
,Tools and artiracts require greater use and maturity,usability,maturity,,
,"Learning new languages, methods, and frameworks is very time consuming",technology heterogeneity,knowledge discrepancies,,
,Incompatible modeling languages; models that don't parse correctly; repositories that cease being supported; languages that become obsolete,"compatibility (of languages, platforms, libraries)",exchange formats,outdated technology,
,outdated dependencies and lake of proper installation / usage guide,dependencies,documentation,installation,
,Property rights,IP,,,
,"Evolution consequences: Shared models some years ago might not be possible to be loaded with current tools (e.g., metamodel has evolved, current tools evolved and they are no longer compatible so you need to take an ancient version of the tool incompatible with new functionalities you want to use) Lack of adoption of libraries: Libraries of models and model transformations have been developed in the last years, but I have doubts if they were successful or if they reached an acceptable level of adoption. The idea is not bad but I never used them. Lack of real or realistic models: Big models exist but in most of the cases they are incomplete (e.g., https://wiki.eclipse.org/Capella/Samples/IFE)","compatibility (of languages, platforms, libraries)",standardisation,lack of realistic models,
,"Bad documentation, version conflicts, lack of semantics",documentation,"compatibility (of languages, platforms, libraries)",lack of information,
,availability interoperability unmaintainability,availability,"compatibility (of languages, platforms, libraries)",maintenance,
,"Long-term reusability requires more than model repositories. A complete VM/Docker image is required, which is memory intensive and imposes considerable efforts in production.",reusability,effort,,
,"It was a Ph.D. student who wanted to use my (meta) models. He/She had severe trouble in setting up the infrastructure (Eclipse Ecore). Additionally, it seemed to be a real issue in understanding how to work with models from the Java perspective (""that are just classes and objects, where is the model?"").",installation,knowledge discrepancies,,
,Adequate Documentation. Versioning differences (compatibility).,documentation,"compatibility (of languages, platforms, libraries)",,
,Dependencies of the technological platform,dependencies,,,
